ALTEMERRET,ENGLISH,WORD-TYPE,NOTES
irazka,language,noun,
urfas,name,noun,
ess,I,pronoun,1st person singular
fal,you (s),pronoun,2nd person singular
io,he; she; it; they (s),pronoun,3rd person singular
lass,we,pronoun,1st person plural
iall,you (p),pronoun,2nd person plural
neo,they (p),pronoun,3rd person plural
ofi,this,prounoun,
ofa,this,determiner,
ofedi,here,adverb,
urti,that,prounoun,
urt,that,determiner,
uredi,there,adverb,
tin,what,pronoun,
tan,what; which,determiner,
tindi,where,adverb,
alta,when,adverb,
or,not,particle,
ullai,all,noun,use with genitive for 'all of ...'
idi,some,noun,use with genitive for 'some of ...'
tisti,many,noun,use with genitive for 'many of ...'
kau,few,noun,use with genitive for 'a few of ...'
iata,other,determiner,
kotta,one,numeral,
stita,two,numeral,
fasta,three,numeral,
ierta,four,numeral,
uizda,five,numeral,
fefoi,big; large,adjective,
onto,long,adjective,
iozai,wide,adjective,
enza,thick,adjective,
foira,heavy,adjective,
illi,small; little,adjective,
estie,short,adjective,
essu,narrow,adjective,
sirtir,thin,adjective,
enaki,person (of unspecific species),noun,
otalli,woman; female,noun,
faiu,man; male,noun,
stissi,child,noun,
orundu,wife,noun,
ferundu,husband,noun,
kiana,mother,noun,
tata,father,noun,
azik,tree,noun,
lessu,forest,noun,
flait,stick,noun,
kaffa,fruit,noun,
totu,seed,noun,
laist,leaf,noun,
ozzi,root,noun,
sult,bark (tree),noun,
assa,flower,noun,
sert,grass,noun,
tulli,rope,noun,
zan,skin,noun,
zonu,meat,noun,
sennu,blood,noun,
kittak,bone,noun,
tolfi,egg,noun,
azoi,horn,noun,
kano,tail,noun,
ioz,feather,noun,
fest,hair,noun,
ra,head,noun,
zon,ear,noun,
auo,eye,noun,
kopo,nose,noun,
uan,mouth,noun,
tet,tooth,noun,
palti,tongue,noun,
olei,nail; fingernail,noun,
trui,foot,noun,
torki,leg,noun,
akna,knee,noun,
am,hand,noun,
nots,wing,noun,
sommo,belly; stomach,noun,
inat,neck,noun,
otla,back (body),noun,
sadu,breast; chest,noun,
eltru,heart,noun,
zilli,liver,noun,
iluau,I drink,verb,transitive
aizau,I eat,verb,transitive
kittau,I bite,verb,transitive
tsiufau,I suck,verb,transitive
tsuippau,I spit,verb,transitive
aizau,I vomit,verb,transitive
furau,I blow,verb,transitive
aunisau,I breathe,verb,transitive
koakau,I laugh,verb,intransitive
olsau,I see; I look at,verb,transitive
lellau,I hear; I listen too,verb,transitive
ankarau,I know,verb,intransitive (use with 'ederi' for 'know about ...')
tonkarau,I think,verb,intransitive (use with 'ederi' for 'think about ...')
seffau,I smell,verb,
ueriau,I fear,verb,transitive
ossiau,I sleep,verb,intransitive
rau,I am,verb,copular
flau,I become,verb,copular
seldau,I stay,verb,intransitive
aldau,I live,verb,intransitive
nuitau,I die,verb,intransitive
entuitau,I kill,verb,transitive
stonau,I fight,verb,transitive
ketsau,I hunt,verb,transitive
kittau,I hit,verb,transitive
stitau,I cut,verb,transitive
delzau,I split,verb,transitive
zoniau,I stab,verb,transitive
kritsau,I scratch,verb,transitive
dedau,I dig,verb,intransitive
luziau,I swim,verb,intransitive
flastiau,I fly,verb,intransitive
noktau,I walk,verb,intransitive
attau,I come,verb,intransitive
topau,I lie (down),verb,intransitive
lezziau,I sit,verb,intransitive
tiau,I stand,verb,intransitive
orundau,I turn,verb,intransitive
aefau,I fall,verb,intransitive
zeliau,I give,verb,ditransitive with allative
kakau,I hold,verb,transitive
fentau,I squeeze,verb,transitive
parpiau,I rub,verb,transitive
tissau,I wash,verb,transitive
ipsau,I wipe,verb,transitive
koliau,I pull,verb,transitive
oftau,I push,verb,transitive
deddau,I throw,verb,
sausiau,I tie,verb,transitive
tatau,I count,verb,transitive
edau,I say; I speak to,verb,transitive
iftanau,I play,verb,transitive
illau,I float,verb,
efflau,I flow,verb,
stiffau,I freeze,verb,
roliau,I swell,verb,
fiam,sun,noun,
oln,moon,noun,
isar,star,noun,
lun,water,noun,
zain,rain,noun,
erak,river,noun,
luet,lake,noun,
sfai,sea,noun,
tlas,salt,noun,
dest,stone,noun,
zaus,sand,noun,
fiasu,dust,noun,
asdir,earth,noun,
fafai,cloud,noun,
liski,fog,noun,
sami,sky,noun,
foll,wind,noun,
sitau,snow,noun,
skel,ice,noun,
adesi,smoke,noun,
aza,fire,noun,
erra,ash,noun,
azasau,I burn,verb,
lof,road,noun,
ustrin,city; town,noun,
trodi,mountain,noun,
klu,red,adjective,
liori,green,adjective,
ilsta,yellow,adjective,
ossa,white,noun,
derru,black,noun,
lonz,night,noun,
tia,daytime,noun,
tauter,year,noun,
nill,warm,adjective,
zess,cold,adjective,
oldiu,full,adjective,
imar,new,adjective,
tokor,old,adjective,
lau,good,adjective,
idi,bad,adjective,
pista,rotten,adjective,
fedur,dirty,adjective,
slar,straight,adjective,
naun,round,adjective,
skiak,sharp (knife),adjective,
land,blunt (knife),adjective,
soli,smooth,adjective,
fessi,wet,adjective,
kerr,dry,adjective,
toma,true; correct,adjective,
kori,near,adjective,
kori,near to,preposition,takes allative
stisa,far,adjective,
stisa,far from,preposition,takes ablative
karan,right,noun,
doite,left,noun,
-,at,,(use locative case)
nu,in; inside,preposition,takes locative
nu,into,preposition,takes allative
nu,from inside,preposition,takes ablative
ederi,about; concerning,preposition,takes instrumental
-,with,,(use instrumental case)
fa,and,conjunction,
dell,if,conjunction,
ket,because,conjunction,
